country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,longitude,latitude
Argentina,1900,0.534,2.07,7.085,0.183,0.438,1.379,-58.382,-34.604
Armenia,1900,3.89,0.05,1.782,90.518,0.329,1.379,45.038,40.069
Australia,1900,0.327,10.047,0.298,1.924,0.121,1.379,151.21,-33.865
Austria,1900,2.849,27.696,17.078,78.756,135.311,3.868,14.55,47.516
Azerbaijan,1900,1.765,0.026,0.128,16.71,1.059,1.183,48.5,41.4
Belarus,1900,0.071,0.364,0.046,0.044,2.01,3.213,27.953,53.71
Belgium,1900,2.136,49.666,0.003,36.734,17.028,1.036,4.47,50.504
Bosnia and Herzegovina,1900,0.33,0.12,0.078,2.043,0.32,1.635,18.294,44.409
Bulgaria,1900,3.208,0.216,0.795,6.051,2.113,1.221,25.486,42.734
Canada,1900,1.004,20.251,1.179,0.965,0.377,2.631,-123.116,49.246
Chile,1900,0.076,0.85,3.414,47.426,0.934,1.699,-70.674,-33.447
Croatia,1900,0.504,0.131,0.065,0.174,3.655,0.405,15.967,45.815
Czechia,1900,0.828,33.779,0.386,0,5.961,0.05,14.419,50.074
Denmark,1900,0.091,5.148,0.069,0.005,2.257,1.081,12.568,55.676
Estonia,1900,0.076,0.563,1.055,1.041,0.12,0.176,24.754,59.437
Finland,1900,0.086,0.542,0.084,0.107,0.059,0.879,24.946,60.192
France,1900,0.654,128.54,0.164,4.278,0.736,0.716,2.349,48.865
Georgia,1900,0.03,0.153,0.795,0.004,0.425,7.338,44.783,41.717
Germany,1900,0.798,323.729,0.178,4.443,3.03,9.39,13.405,52.52
Greece,1900,1.497,0.418,1.107,2.533,10.423,5.277,21.824,39.074
Hungary,1900,0.706,9.578,0.292,6.03,0.007,1.259,19.04,47.498
Indonesia,1900,138.878,0.539,1.604,122.837,0.671,0.14,106.774,-6.121
Italy,1900,2.238,13.637,2.035,14.344,0.271,2.768,12.496,41.903
Japan,1900,0.388,18.43,1.16,0.265,0.982,6.962,138.253,36.205
Kazakhstan,1900,1.62,3.884,0.73,8.089,0.89,6.009,66.924,48.02
Kyrgyzstan,1900,1.349,0.289,1.52,45.161,0.15,1.96,74.766,41.204
Latvia,1900,0.737,0.112,0.151,0.153,0.239,1.011,25,57
Lithuania,1900,0.802,0.138,5.304,0.048,0.515,0.378,23.904,54.899
Malaysia,1900,0.118,0.059,0.16,0.16,1.047,0.042,112.5,2.5
Mexico,1900,0.12,1,3.48,0.331,1.466,0.159,-102,23
Moldova,1900,9.186,0.275,3.014,60.967,0.293,0.306,28.37,47.412
Montenegro,1900,0.188,0.012,0.069,1.397,4.142,0.492,19.3,42.5
Netherlands,1900,0.815,14.117,0.112,1.793,0.517,1.09,5.55,52.317
New Zealand,1900,0.041,2.44,0.557,36.948,2.765,0.941,173,-42
North Macedonia,1900,2.507,0.088,5.102,13.088,3.12,0.449,21.7,41.6
Norway,1900,0.344,4.034,0.069,0.509,0.121,0.378,8,61
Oceania,1900,0.721,12.487,2.158,13.239,0.121,0.395,133.775,-25.274
Peru,1900,0.339,0.128,1.634,0.791,0.117,5.097,-76,-10
Poland,1900,9.258,62.24,2.414,7.779,1.066,5.388,20,52
Portugal,1900,7.392,2.422,4.795,34.685,0.044,4.479,-9.183,38.7
Romania,1900,2.197,0.476,1.379,91.019,0.762,1.276,25,46
Russia,1900,3.404,28.539,0.732,20.271,17.529,1.715,90,60
Serbia,1900,1.727,0.349,0.09,0.039,6.395,8.427,21,44
Slovakia,1900,0.186,10.786,0.032,4.889,0.703,2.581,19.5,48.667
Slovenia,1900,1.303,0.099,0.02,9.256,9.324,0.939,14.817,46.117
South Africa,1900,0.087,2.33,0.104,2.759,0.762,0.837,25,-30
Spain,1900,6.931,11.087,0.088,17.252,0.132,2.448,-4,40
Sweden,1900,0.064,8.926,0.008,0.01,0.245,1.304,16,63
Switzerland,1900,1.562,5.459,0.816,1.905,0.216,0.547,8.333,46.833
Taiwan,1900,0.684,0.11,1.849,6.963,16.709,0.442,121,24
Tajikistan,1900,4.468,0.094,0.739,39.109,0.118,0.8,71,39
Turkey,1900,3.472,1.037,0.288,12.315,14.351,2.711,35,39
Turkmenistan,1900,29.375,0.096,0.176,83.721,0.765,6.797,60,40
Ukraine,1900,0.364,10.577,2.658,8.602,3.313,7.901,32,49
United Kingdom,1900,6.819,416.685,1.386,135.323,3.056,3.081,-3,55
United States,1900,1.386,626.544,5.342,11.542,24.651,3.08,-100,40
Uzbekistan,1900,0.287,0.993,32.746,0.121,1.319,27.588,63,42
Vietnam,1900,3.048,0.513,32.902,32.376,46.283,27.588,108,16
Argentina,1901,0.519,2.492,7.013,0.17,0.384,1.379,-58.382,-34.604
Armenia,1901,3.752,0.045,1.758,86.207,0.344,1.379,45.038,40.069
Australia,1901,0.329,11.205,0.299,1.893,0.234,1.379,151.21,-33.865
Austria,1901,2.757,28.352,16.89,76.295,128.557,3.838,14.55,47.516
Azerbaijan,1901,1.703,0.023,0.13,15.915,1.091,1.187,48.5,41.4
Belarus,1901,0.069,0.329,0.052,0.042,2.108,3.217,27.953,53.71
Belgium,1901,2.114,46.709,0.004,36,15.81,1.054,4.47,50.504
Bosnia and Herzegovina,1901,0.319,0.131,0.077,1.973,0.306,1.634,18.294,44.409
Brazil,1901,0.007,2.103,0.013,0.004,2.781,1.474,-46.625,-23.534
Bulgaria,1901,3.095,0.271,0.787,5.96,2.081,1.22,25.486,42.734
Canada,1901,0.999,23.53,1.18,0.934,0.315,2.636,-123.116,49.246
Chile,1901,0.075,1.568,3.35,46.459,0.916,1.697,-70.674,-33.447
Croatia,1901,0.5,0.143,0.065,0.168,3.505,0.403,15.967,45.815
Czechia,1901,0.814,35.296,0.387,0,5.535,0.081,14.419,50.074
Denmark,1901,0.101,5.36,0.069,0.006,2.311,1.078,12.568,55.676
Estonia,1901,0.075,0.563,1.042,0.991,0.138,0.176,24.754,59.437
Finland,1901,0.088,0.355,0.085,0.117,0.066,0.882,24.946,60.192
France,1901,0.705,124.298,0.236,4.176,0.707,0.763,2.349,48.865
Georgia,1901,0.029,0.141,0.785,0.004,0.452,7.355,44.783,41.717
Germany,1901,0.905,322.579,0.191,4.313,2.979,9.407,13.405,52.52
Greece,1901,1.445,0.418,1.094,2.505,9.998,5.229,21.824,39.074
Hungary,1901,0.689,9.607,0.292,5.841,0.011,1.26,19.04,47.498
Indonesia,1901,134.091,0.542,1.632,116.995,1.7,0.142,106.774,-6.121
Italy,1901,2.213,13.304,2.058,7.174,0.216,2.791,12.496,41.903
Japan,1901,0.442,22.189,1.144,0.25,1.085,7.015,138.253,36.205
Kazakhstan,1901,1.564,3.873,0.735,7.704,1.028,5.974,66.924,48.02
Kyrgyzstan,1901,1.301,0.282,1.502,43.01,0.169,1.955,74.766,41.204
Latvia,1901,0.712,0.103,0.15,0.145,0.256,1.006,25,57
Lithuania,1901,0.774,0.126,5.234,0.045,0.544,0.379,23.904,54.899
Malaysia,1901,0.116,0.048,0.16,0.159,0.961,0.042,112.5,2.5
Mexico,1901,0.12,1.304,3.464,0.328,0.007,0.16,-102,23
Moldova,1901,8.858,0.261,2.973,58.064,0.322,0.306,28.37,47.412
Montenegro,1901,0.187,0.013,0.068,1.39,3.954,0.493,19.3,42.5
Netherlands,1901,0.79,13.758,0.111,1.756,0.553,1.091,5.55,52.317
New Zealand,1901,0.043,2.741,0.549,36.423,2.676,0.936,173,-42
North Macedonia,1901,2.418,0.096,5.039,12.955,2.98,0.449,21.7,41.6
Norway,1901,0.336,3.752,0.071,0.519,0.143,0.377,8,61
Oceania,1901,0.713,13.945,2.128,13.025,0.234,0.421,133.775,-25.274
Peru,1901,0.328,0.119,1.634,0.79,0.119,5.099,-76,-10
Poland,1901,8.946,65.655,2.434,7.418,1.242,5.389,20,52
Portugal,1901,7.13,2.327,4.743,34.309,0.062,4.435,-9.183,38.7
Romania,1901,2.125,0.68,1.377,86.242,0.914,1.281,25,46
Russia,1901,3.303,27.64,0.912,19.307,19.655,2.115,90,60
Serbia,1901,1.67,0.381,0.09,0.037,6.106,8.413,21,44
Slovakia,1901,0.187,11.27,0.032,4.721,0.653,2.567,19.5,48.667
Slovenia,1901,1.259,0.109,0.02,8.937,8.903,0.931,14.817,46.117
South Africa,1901,0.09,3.909,0.103,2.767,0.845,0.842,25,-30
Spain,1901,6.71,11.695,0.089,15.928,0.11,2.453,-4,40
Sweden,1901,0.07,8.284,0.011,0.011,0.238,1.296,16,63
Switzerland,1901,1.518,4.965,0.807,1.871,0.22,0.544,8.333,46.833
Taiwan,1901,0.67,0.176,1.84,6.686,16.257,0.445,121,24
Tajikistan,1901,4.308,0.088,0.73,37.246,0.129,0.803,71,39
Turkey,1901,3.349,0.949,0.287,12.157,14.045,2.714,35,39
Turkmenistan,1901,28.327,0.086,0.178,79.735,0.798,6.802,60,40
Ukraine,1901,0.357,10.465,2.674,8.193,3.795,7.905,32,49
United Kingdom,1901,6.653,407.66,1.369,132.101,3.041,3.085,-3,55
United States,1901,1.656,681.541,6.097,12.861,27.125,3.314,-100,40
Uzbekistan,1901,0.281,0.935,32.308,0.115,1.439,27.588,63,42
Vietnam,1901,2.942,0.502,32.53,31.976,45.364,27.588,108,16
Argentina,1902,0.504,2.814,6.941,0.157,0.33,1.379,-58.382,-34.604
Armenia,1902,3.613,0.045,1.735,81.897,0.331,1.379,45.038,40.069
Australia,1902,0.331,11.285,0.301,1.862,0.11,1.379,151.21,-33.865
Austria,1902,2.664,25.696,16.701,73.835,121.804,3.807,14.55,47.516
Azerbaijan,1902,1.64,0.023,0.131,15.119,1.053,1.192,48.5,41.4
Belarus,1902,0.068,0.328,0.058,0.04,2.025,3.222,27.953,53.71
Belgium,1902,2.091,48.856,0.005,35.265,14.592,1.072,4.47,50.504
